,Sala,Presidente,Ministros,Integrantes,Fecha2,Ministros2,Abogados,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
2482,PRIMERA,  SILVA G,  MAGGI EGNEM  FUENTES ,MAGGI EGNEM FUENTES ,2019-08-27 00:00:00,, ,MAGGI,EGNEM,FUENTES,,,,,
2492,PRIMERA,  SILVA G,  MAGGI EGNEM  FUENTES ,MAGGI EGNEM FUENTES ,2019-08-28 00:00:00,, ,MAGGI,EGNEM,FUENTES,,,,,
2500,PRIMERA,  SILVA G,  MAGGI EGNEM  FUENTES ,MAGGI EGNEM FUENTES ,2019-08-29 00:00:00,, ,MAGGI,EGNEM,FUENTES,,,,,
2521,PRIMERA,  SILVA G,  MAGGI  EGNEM  FUENTES ,MAGGI EGNEM FUENTES ,2019-08-08 00:00:00,, ,MAGGI,EGNEM,FUENTES,,,,,
2530,PRIMERA,  SILVA G,  EGNEM  FUENTES PRADO  ,EGNEM FUENTES PRADO  MUNITA,2019-08-07 00:00:00,,   MUNITA,EGNEM,FUENTES,PRADO,,licencia,,,
2542,PRIMERA,  SILVA G,,MUNITA,2019-08-06 00:00:00,,   MUNITA,MUNITA,,,,licencia,,,
2557,PRIMERA,  SILVA G,  FUENTES PRADO   ,FUENTES PRADO  MUNITA BARRA ,2019-08-05 00:00:00,,  MUNITA  BARRA ,FUENTES,PRADO,,MUNITA,licencia,,,
2579,. PRIMERA,  SILVA G,  MAGGI EGNEM  FUENTES  ,MAGGI EGNEM FUENTES ,2019-08-01 00:00:00,, ,MAGGI,EGNEM,FUENTES,,,,,
2581,PRIMERA,,  EGNEM  FUENTES PRADO  ,EGNEM FUENTES PRADO  MUNITA,2019-09-10 00:00:00,,   MUNITA,EGNEM,FUENTES,PRADO,,comisión,,,
2584,PRIMERA,,  EGNEM  FUENTES PRADO  ,EGNEM FUENTES PRADO  MUNITA,2019-09-11 00:00:00,,   MUNITA,EGNEM,FUENTES,PRADO,,comisión,,,
2588,PRIMERA,,  EGNEM  FUENTES PRADO  ,EGNEM FUENTES PRADO  MUNITA,2019-09-12 00:00:00,,   MUNITA,EGNEM,FUENTES,PRADO,,comisión,,,
2594,PRIMERA,,  EGNEM  FUENTES   ,EGNEM FUENTES  GOMEZ PALLAVICINI ,2019-09-13 00:00:00,,  GOMEZ  PALLAVICINI ,EGNEM,FUENTES,,GOMEZ,comisión,subroga,,
2597,PRIMERA,,  EGNEM  FUENTES   ,EGNEM FUENTES  GOMEZ GAJARDO ,2019-09-16 00:00:00,,  GOMEZ   GAJARDO ,EGNEM,FUENTES,,GOMEZ,permiso,subroga,,
2601,PRIMERA,,  EGNEM  FUENTES   ,EGNEM FUENTES  MUNITA GÓMEZ ,2019-09-17 00:00:00,,  MUNITA  GÓMEZ ,EGNEM,FUENTES,,MUNITA,permiso,subroga,,
2608,PRIMERA,,  FUENTES PRADO   ,FUENTES PRADO  LAGOS GÓMEZ ,2019-09-23 00:00:00,,  LAGOS  GÓMEZ ,FUENTES,PRADO,LAGOS,GÓMEZ,permiso,,,
2618,PRIMERA,,  EGNEM  FUENTES PRADO  ,EGNEM FUENTES PRADO  PEÑAILILLO,2019-09-24 00:00:00,,   PEÑAILILLO,EGNEM,FUENTES,PRADO,,feriado,,,
2626,PRIMERA,,  EGNEM  FUENTES PRADO  ,EGNEM FUENTES PRADO  GOMEZ,2019-09-25 00:00:00,,   GOMEZ,EGNEM,FUENTES,PRADO,,feriado,,,
2636,PRIMERA,,  EGNEM  FUENTES  LOS ,EGNEM FUENTES LOS GÓMEZ BARRA ,2019-09-26 00:00:00,,  GÓMEZ  BARRA ,EGNEM,FUENTES,LOS,GÓMEZ,feriado,subroga,,
2646,PRIMERA,,  EGNEM  FUENTES PRADO  ,EGNEM FUENTES PRADO  BARRA,2019-09-27 00:00:00,,   BARRA,EGNEM,FUENTES,PRADO,,feriado,,,
2659,PRIMERA,,,MUNITA GÓMEZ ,2019-09-30 00:00:00,,  MUNITA  GÓMEZ ,MUNITA,GÓMEZ,,,comisión,feriado,,
2668,PRIMERA,,  EGNEM  FUENTES PRADO  ,EGNEM FUENTES PRADO  GOMEZ,2019-09-09 00:00:00,,   GOMEZ,EGNEM,FUENTES,PRADO,,comisión,,,
2683,PRIMERA,  SILVA G,  FUENTES CISTERNAS DAHM   ,FUENTES CISTERNAS DAHM LAGOS,2019-09-06 00:00:00,,   LAGOS,FUENTES,CISTERNAS,DAHMLAGOS,,comisión,permiso,,
2698,PRIMERA,  SILVA G,  PRADO  MINISTRO SUPLENTE:  ,PRADO MINISTRO SUPLENTE: ,2019-09-05 00:00:00,,  ,PRADO,MINISTRO,SUPLENTE:,,comisión,,,
2713,PRIMERA,  SILVA G,  MAGGI  FUENTES PRADO  ,MAGGI FUENTES PRADO  PEÑAILILLO,2019-09-04 00:00:00,,   PEÑAILILLO,MAGGI,FUENTES,PRADO,,comisión,,,
2729,PRIMERA,  SILVA G,  MAGGI  FUENTES PRADO  ,MAGGI FUENTES PRADO  PEÑAILILLO,2019-09-03 00:00:00,,   PEÑAILILLO,MAGGI,FUENTES,PRADO,,comisión,,,
2747,PRIMERA,,  FUENTES PRADO   ,FUENTES PRADO  PEÑAILILLO BARRA ,2019-09-02 00:00:00,,  PEÑAILILLO  BARRA ,FUENTES,PRADO,,PEÑAILILLO,comisión,,,
2750,PRIMERA,  SILVA G,  MAGGI ,MAGGI LAGOS,,,   LAGOS,MAGGILAGOS,,,,subroga,,,
2753,PRIMERA,  SILVA G,  MAGGI ,MAGGI SE&OR PALLAVICINI,,,  SE&OR PALLAVICINI,MAGGI,SE&OR,PALLAVICINI,,permiso,feriado,,
2763,PRIMERA,  SILVA G,  MAGGI  FUENTES  PRADO,MAGGI FUENTES PRADO MUNITA,2019-10-21 00:00:00,PRADO,   MUNITA,MAGGI,FUENTES,PRADO,MUNITA,,,,
2767,PRIMERA,  SILVA G,  MAGGI ,MAGGI $ MUNITA,,,  $ MUNITA,MAGGI,$,MUNITA,,permiso,,,
2777,PRIMERA,  SILVA G,  MAGGI ,MAGGI ,,, ,MAGGI,,,,subroga,,,
2799,PRIMERA,  SILVA G,,PEÑAILILLO,,,   PEÑAILILLO,PEÑAILILLO,,,,subroga,,,
2804,PRIMERA,  SILVA G,  MAGGI ,MAGGI PEÑAILILLO,,,   PEÑAILILLO,MAGGI,PEÑAILILLO,,,subroga,,,
2836,PRIMERA,  SILVA G,,MUNITA SEEÑORA GAJARDO ,2019-10-01 00:00:00,,  MUNITA  SEEÑORA GAJARDO ,MUNITA,SEEÑORA,GAJARDO,,subroga,,,
2840,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS VALDERRAMA,KUNSEMULLER CISTERNAS VALDERRAMA LAGOS,2018-01-25 00:00:00,VALDERRAMA,   LAGOS,KUNSEMULLER,CISTERNAS,VALDERRAMALAGOS,,feriado,,,
2841,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS  LOS ,KUNSEMULLER CISTERNAS LOS ETCHEBERRY ,2018-01-11 00:00:00,,  ETCHEBERRY   ,KUNSEMULLER,CISTERNAS,LOS,ETCHEBERRY,feriado,,,
2842,SEGUNDA,  KUNSEMULLER,  CISTERNAS VALDERRAMA  LOS ,CISTERNAS VALDERRAMA LOS RODRÍGUEZ ,2018-01-15 00:00:00,,  RODRÍGUEZ  ,CISTERNAS,VALDERRAMA,LOS,RODRÍGUEZ,permiso,feriado,,
2843,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS VALDERRAMA,KUNSEMULLER CISTERNAS VALDERRAMA MA TUS,2018-01-17 00:00:00,VALDERRAMA,   MA TUS,KUNSEMULLER,CISTERNAS,VALDERRAMA,MA,feriado,,,
2848,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS VALDERRAMA,KUNSEMULLER CISTERNAS VALDERRAMA ,2018-01-18 00:00:00,VALDERRAMA,  ,KUNSEMULLER,CISTERNAS,VALDERRAMA,,feriado,,,
2857,SEGUNDA,  JUICA,  KUNSEMULLER VALDERRAMA  ,KUNSEMULLER VALDERRAMA ETCHEBERRY ,2018-01-22 00:00:00,,  ETCHEBERRY   ,KUNSEMULLER,VALDERRAMA,ETCHEBERRY,,comisión,feriado,,
2865,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS VALDERRAMA,KUNSEMULLER CISTERNAS VALDERRAMA ,2018-01-23 00:00:00,VALDERRAMA,  ,KUNSEMULLER,CISTERNAS,VALDERRAMA,,feriado,,,
2873,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS VALDERRAMA,KUNSEMULLER CISTERNAS VALDERRAMA ,2018-01-24 00:00:00,VALDERRAMA,  ,KUNSEMULLER,CISTERNAS,VALDERRAMA,,feriado,,,
2901,SEGUNDA,  JUICA,  KUNSEMULLER VALDERRAMA DAHM,KUNSEMULLER VALDERRAMA DAHM LAGOS,2018-01-29 00:00:00,DAHM,   LAGOS,KUNSEMULLER,VALDERRAMA,DAHMLAGOS,,feriado,,,
2915,SEGUNDA,  JUICA,  KUNSEMULLER VALDERRAMA DAHM,KUNSEMULLER VALDERRAMA DAHM RODRIGUEZ,2018-01-30 00:00:00,DAHM,   RODRIGUEZ,KUNSEMULLER,VALDERRAMA,DAHM,RODRIGUEZ,feriado,,,
2926,SEGUNDA,  JUICA,  KUNSEMULLER VALDERRAMA DAHM,KUNSEMULLER VALDERRAMA DAHM LAGOS,2018-01-31 00:00:00,DAHM,   LAGOS,KUNSEMULLER,VALDERRAMA,DAHMLAGOS,,feriado,,,
2939,SEGUNDA,  KUNSEMULLER,  CISTERNAS VALDERRAMA  LOS ,CISTERNAS VALDERRAMA LOS ETCHEBERRY ,2018-01-09 00:00:00,,  ETCHEBERRY   ,CISTERNAS,VALDERRAMA,LOS,ETCHEBERRY,comisión,feriado,,
2953,SEGUNDA,"  KUNSEMULLER,",  CISTERNAS VALDERRAMA  LOS ,CISTERNAS VALDERRAMA LOS RODRIGUEZ SETÑORA ,2018-01-08 00:00:00,,  RODRIGUEZ  SETÑORA ,CISTERNAS,VALDERRAMA,LOS,RODRIGUEZ,comisión,feriado,,
2979,SEGUNDA,  KUNSEMULLER,  CISTERNAS CERDA ,CISTERNAS CERDA ,2018-01-04 00:00:00,,  ,CISTERNAS,CERDA,,,comisión,feriado,,
2996,SEGUNDA,  KUNSEMULLER,  CISTERNAS VALDERRAMA  LOS ,CISTERNAS VALDERRAMA LOS RODRIGUEZ LAGOS ,2018-01-03 00:00:00,,  RODRIGUEZ  LAGOS ,CISTERNAS,VALDERRAMA,LOS,RODRIGUEZLAGOS,comisión,feriado,,
3012,SEGUNDA,  KUNSEMULLER,  CISTERNAS CERDA ,CISTERNAS CERDA ,2018-01-02 00:00:00,,  ,CISTERNAS,CERDA,,,comisión,feriado,,
3015,SEGUNDA,  KUNSEMULLER, —  MUÑOZ —  CERDA ,— MUÑOZ — CERDA ,2018-02-12 00:00:00,, ,—,MUÑOZ,—,CERDA,feriado,,,
3019,SEGUNDA,  KUNSEMULLER, —  MUÑOZ  CERDA ,— MUÑOZ CERDA ,2018-02-13 00:00:00,, ,—,MUÑOZ,CERDA,,feriado,,,
3023,SEGUNDA,  KUNSEMULLER,  MUÑOZ  CERDA DAHM   ,MUÑOZ CERDA DAHM ,2018-02-14 00:00:00,, ,MUÑOZ,CERDA,DAHM,,feriado,,,
3028,SEGUNDA,  KUNSEMULLER, —  MUÑOZ  €ERDA ,— MUÑOZ €ERDA ,2018-02-15 00:00:00,, ,—,MUÑOZ,€ERDA,,feriado,,,
3039,SEGUNDA,  KUNSEMULLER,  CERDA VALDERRAMA DAHM  £ ,CERDA VALDERRAMA DAHM £ ,2018-02-19 00:00:00,, ,CERDA,VALDERRAMA,DAHM,£,comisión,feriado,,
3048,SEGUNDA,  KUNSEMULLER,  CERDA VALDERRAMA DAHM   ,CERDA VALDERRAMA DAHM ,2018-02-20 00:00:00,, ,CERDA,VALDERRAMA,DAHM,,comisión,feriado,,
3057,SEGUNDA,  KUNSEMULLER,  CERDA VALDERRAMA DAHM  ERL ,CERDA VALDERRAMA DAHM ERL ,2018-02-21 00:00:00,, ,CERDA,VALDERRAMA,DAHM,ERL,comisión,feriado,,
3067,SEGUNDA,  KUNSEMULLER,  CERDA VALDERRAMA DAHM   ,CERDA VALDERRAMA DAHM ,2018-02-22 00:00:00,, ,CERDA,VALDERRAMA,DAHM,,comisión,feriado,,
3088,SEGUNDA,  KUNSEMULLER,  MUÑOZ  CERDA ,MUÑOZ CERDA ,2018-02-26 00:00:00,, ,MUÑOZ,CERDA,,,feriado,,,
3102,SEGUNDA,  KUNSEMULLER,  MUÑOZ  CERDA ,MUÑOZ CERDA ,2018-02-27 00:00:00,, ,MUÑOZ,CERDA,,,feriado,,,
3116,SEGUNDA,  KUNSEMULLER,  CISTERNAS  MUÑOZ  ,CISTERNAS MUÑOZ ,2018-02-28 00:00:00,, ,CISTERNAS,MUÑOZ,,,feriado,,,
3145,SEGUNDA,  KUNSEMULLER, —  MUÑOZ  €CERDA ,— MUÑOZ €CERDA ,2018-02-08 00:00:00,, ,—,MUÑOZ,€CERDA,,feriado,,,
3163,SEGUNDA,"  KUNSEMULLER,", —  MUÑOZ —  CERDA ,— MUÑOZ — CERDA ,2018-02-07 00:00:00,, ,—,MUÑOZ,—,CERDA,feriado,,,
3180,SEGUNDA,  KUNSEMULLER, —  MUÑOZ SEORES CERDA ,— MUÑOZ SEORES CERDA ,2018-04-06 00:00:00,, ,—,MUÑOZ,SEORES,CERDA,feriado,,,
3199,SEGUNDA,  KUNSEMULLER, —   MUÑOZ —  CERDA ,— MUÑOZ — CERDA ,2018-02-05 00:00:00,, ,—,MUÑOZ,—,CERDA,feriado,,,
3238,SEGUNDA,  KUNSEMULLER,  MUÑOZ  CERDA ,MUÑOZ CERDA ,2018-02-01 00:00:00,, ,MUÑOZ,CERDA,,,feriado,,,
3242,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-03-12 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3244,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-03-13 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3248,SEGUNDA,  KUNSEMULLER |,  CISTERNAS VALDERRAMA DAHM,"CISTERNAS VALDERRAMA DAHM MA TUS,",2018-03-14 00:00:00,DAHM,"   MA TUS,",CISTERNAS,VALDERRAMA,DAHM,MA,permiso,,,
3253,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-03-15 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3263,SEGUNDA,  KUNSEMULLER,  CISTERNAS  CHEVESICH ,CISTERNAS CHEVESICH ,2018-03-19 00:00:00,, ,CISTERNAS,CHEVESICH,,,comisión,,,
3271,SEGUNDA,  KUNSEMULLER,  CISTERNAS SETÑORAS CHEVESICH ,CISTERNAS SETÑORAS CHEVESICH ,2018-03-20 00:00:00,, ,CISTERNAS,SETÑORAS,CHEVESICH,,comisión,,,
3278,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-03-22 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,comisión,,,
3294,SEGUNDA,  JUICA,  KUNSEMULLER VALDERRAMA ,KUNSEMULLER VALDERRAMA GAJARDO,2018-03-26 00:00:00,,   GAJARDO,KUNSEMULLER,VALDERRAMA,GAJARDO,,,,,
3305,SEGUNDA,  JUICA,  KUNSEMULLER VALDERRAMA ,KUNSEMULLER VALDERRAMA GAJARDO,2018-03-27 00:00:00,,   GAJARDO,KUNSEMULLER,VALDERRAMA,GAJARDO,,,,,
3315,SEGUNDA,  JUICA,  2CISTERNAS VALDERRAMA ,2CISTERNAS VALDERRAMA GAJARDO,2018-03-28 00:00:00,,   GAJARDO,2CISTERNAS,VALDERRAMA,GAJARDO,,permiso,,,
3346,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-03-08 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3359,SEGUNDA,  JUICA, ¿ KUNSEMULLER CISTERNAS ,¿ KUNSEMULLER CISTERNAS ,2018-03-07 00:00:00,, ,¿,KUNSEMULLER,CISTERNAS,,,,,
3372,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-03-06 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3387,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-03-05 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3416,SEGUNDA,  KUNSEMULLER,  CISTERNAS VALDERRAMA ,CISTERNAS VALDERRAMA ,2018-03-01 00:00:00,, ,CISTERNAS,VALDERRAMA,,,feriado,,,
3419,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-04-10 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3422,SEGUNDA,  JUICA,  RKUNSEMULLER CISTERNAS ,RKUNSEMULLER CISTERNAS ,2018-04-11 00:00:00,, ,RKUNSEMULLER,CISTERNAS,,,,,,
3426,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-04-12 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3429,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-04-16 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3435,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-04-17 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3442,SEGUNDA,  KUNSEMULLER,  2CISTERNAS VALDERRAMA DAHM,2CISTERNAS VALDERRAMA DAHM ABUAUAD,2018-04-18 00:00:00,DAHM,   ABUAUAD,2CISTERNAS,VALDERRAMA,DAHM,ABUAUAD,permiso,,,
3450,SEGUNDA,  KUNSEMULLER,  CISTERNAS VALDERRAMA DAHM,CISTERNAS VALDERRAMA DAHM ABUAUAD,2018-04-19 00:00:00,DAHM,   ABUAUAD,CISTERNAS,VALDERRAMA,DAHM,ABUAUAD,permiso,,,
3466,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-04-23 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3476,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-04-24 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3487,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-04-25 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3499,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-04-26 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3522,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS  LOS ,KUNSEMULLER CISTERNAS LOS ETCHEBERRY ,2018-04-30 00:00:00,,  ETCHEBERRY  ,KUNSEMULLER,CISTERNAS,LOS,ETCHEBERRY,subroga,,,
3536,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-04-09 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3564,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-04-05 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3581,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-04-04 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3598,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-04-03 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3616,SEGUNDA,  CISTERNAS,  VALDERRAMA DAHM  LOS ,VALDERRAMA DAHM LOS ETCHEBERRY ,2018-04-02 00:00:00,,  ETCHEBERRY   ,VALDERRAMA,DAHM,LOS,ETCHEBERRY,permiso,,,
3619,SEGUNDA,  JUICA,  VALDERRAMA DAHM  LOS ,VALDERRAMA DAHM LOS ETCHEBERRY ,2018-05-10 00:00:00,,  ETCHEBERRY   ,VALDERRAMA,DAHM,LOS,ETCHEBERRY,comisión,feriado,,
3623,SEGUNDA,  JUICA,  CERDA DAHM   ,CERDA DAHM  MUNITA ABUAUAD ,2018-05-14 00:00:00,,  MUNITA  ABUAUAD ,CERDA,DAHM,,MUNITA,permiso,feriado,,
3627,SEGUNDA,  JUICA,  CISTERNAS  MUÑOZ  DAHM,CISTERNAS MUÑOZ DAHM ABUAUAD,2018-05-15 00:00:00,DAHM,   ABUAUAD,CISTERNAS,MUÑOZ,DAHM,ABUAUAD,feriado,,,
3632,SEGUNDA,  JUICA,  CISTERNAS  MUÑOZ  ,CISTERNAS MUÑOZ  ETCHEBERRY,,,   ETCHEBERRY,CISTERNAS,MUÑOZ,,ETCHEBERRY,feriado,,,
3637,SEGUNDA,  JUICA,  CISTERNAS  MUÑOZ  ,CISTERNAS MUÑOZ ,2018-05-17 00:00:00,, ,CISTERNAS,MUÑOZ,,,feriado,,,
3654,SEGUNDA,  JUICA,  CISTERNAS  MUÑOZ  ,CISTERNAS MUÑOZ ,2018-05-23 00:00:00,, ,CISTERNAS,MUÑOZ,,,feriado,,,
3661,SEGUNDA,  JUICA,  CISTERNAS  MUÑOZ  ,CISTERNAS MUÑOZ ,2018-05-24 00:00:00,, ,CISTERNAS,MUÑOZ,,,feriado,,,
3669,SEGUNDA,  JUICA,  CISTERNAS DAHM  LOOS ABOGADOS ,CISTERNAS DAHM LOOS ABOGADOS ETCHEBERRY MUNITA ,2018-05-28 00:00:00,,  ETCHEBERRY   MUNITA ,CISTERNAS,DAHM,LOOS,ABOGADOS,feriado,,,
3679,SEGUNDA,  JUICA,  CERDA DAHM   ,CERDA DAHM  ETCHEBERRY GAJARDO ,2018-05-29 00:00:00,,  ETCHEBERRY  GAJARDO ,CERDA,DAHM,,ETCHEBERRY,comisión,feriado,,
3698,SEGUNDA,  JUICA,  VALDERRAMA DAHM  LOS ,VALDERRAMA DAHM LOS ETCHEBERRY ,2018-05-09 00:00:00,,  ETCHEBERRY   ,VALDERRAMA,DAHM,LOS,ETCHEBERRY,permiso,feriado,,
3710,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-05-08 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3720,SEGUNDA,  KUNSEMULLER,  2CISTERNAS VALDERRAMA ,2CISTERNAS VALDERRAMA GAJARDO,2018-05-07 00:00:00,,   GAJARDO,2CISTERNAS,VALDERRAMA,GAJARDO,,permiso,,,
3746,SEGUNDA,  JUICA,  KUNSEMULLER VALDERRAMA ,KUNSEMULLER VALDERRAMA GAJARDO,2018-05-03 00:00:00,,   GAJARDO,KUNSEMULLER,VALDERRAMA,GAJARDO,,comisión,,,
3760,SEGUNDA,  JUICA,  KUNSEMULLER VALDERRAMA ,KUNSEMULLER VALDERRAMA GAJARDO,2018-05-02 00:00:00,,   GAJARDO,KUNSEMULLER,VALDERRAMA,GAJARDO,,comisión,,,
3763,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-06-11 00:00:00,,  ,KUNSEMULLER,CISTERNAS,,,subroga,,,
3767,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-06-12 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3770,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-06-13 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3775,| SEGUNDA,,  KUNSEMULLER  CHEVESICH SEOR VALDERRAMA,KUNSEMULLER CHEVESICH SEOR VALDERRAMA MUNITA,,"CHEVESICH, seor VALDERRAMA",   MUNITA,KUNSEMULLER,CHEVESICH,SEOR,VALDERRAMA,comisión,,,
3785,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-06-18 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3792,SEGUNDA,  JUICA,  CISTERNAS  CHEVESICH ,CISTERNAS CHEVESICH ,2018-06-19 00:00:00,, ,CISTERNAS,CHEVESICH,,,,,,
3800,SEGUNDA,  JUICA,  CISTERNAS  CHEVESICH ,CISTERNAS CHEVESICH ,2018-06-20 00:00:00,, ,CISTERNAS,CHEVESICH,,,,,,
3809,| SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,,, ,KUNSEMULLER,CISTERNAS,,,,,,
3825,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-06-25 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,,,,
3836,SEGUNDA,  KUNSEMULLER,  CISTERNAS PRADO   ,CISTERNAS PRADO  ABUAUAD BARRA ,2018-06-26 00:00:00,,  ABUAUAD  BARRA ,CISTERNAS,PRADO,,ABUAUAD,comisión,,,
3848,SEGUNDA,  KUNSEMULLER,  VALDERRAMA PRADO  LOS ,VALDERRAMA PRADO LOS ETCHEBERRY DE ,2018-06-27 00:00:00,,  ETCHEBERRY   DE ,VALDERRAMA,PRADO,LOS,ETCHEBERRY,comisión,,,
3861,SEGUNDA,  KUNSEMULLER,  CISTERNAS VALDERRAMA DAHM,CISTERNAS VALDERRAMA DAHM MUNITA,2018-06-28 00:00:00,DAHM,   MUNITA,CISTERNAS,VALDERRAMA,DAHM,MUNITA,,,,
3909,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ETCHEBERRY,2018-06-06 00:00:00,,   ETCHEBERRY,KUNSEMULLER,CISTERNAS,ETCHEBERRY,,feriado,,,
3924,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS DAHM,KUNSEMULLER CISTERNAS DAHM MUNITA,2018-06-05 00:00:00,DAHM,   MUNITA,KUNSEMULLER,CISTERNAS,DAHM,MUNITA,feriado,,,
3940,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS ,KUNSEMULLER CISTERNAS ,2018-06-04 00:00:00,, ,KUNSEMULLER,CISTERNAS,,,feriado,,,
3957,SEGUNDA,  DOLMESTCHL,  KUNSEMULLER CISTERNAS  LOS ,KUNSEMULLER CISTERNAS LOS ABUAUAD ,2018-07-10 00:00:00,,  ABUAUAD   ,KUNSEMULLER,CISTERNAS,LOS,ABUAUAD,comisión,,,
3960,SEGUNDA,  DOLMESTCHI,  KUNSEMULLER VALDERRAMA DAHM,KUNSEMULLER VALDERRAMA DAHM ABUAUAD,2018-07-11 00:00:00,DAHM,   ABUAUAD,KUNSEMULLER,VALDERRAMA,DAHM,ABUAUAD,comisión,,,
3964,SEGUNDA,  DOLMESTCHI,  KUNSEMULLER VALDERRAMA  ,KUNSEMULLER VALDERRAMA ETCHEBERR ,2018-07-12 00:00:00,,  ETCHEBERR    ,KUNSEMULLER,VALDERRAMA,ETCHEBERR,,comisión,permiso,,
