,Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4
1610,PRIMERA,2020-10-30,AMAGGI,AEGNEM,FUENTES,APRADO,GOMEZ
1625,PRIMERA,2020-10-09,AMAGGI,FUENTES,PRADO,BIEL,MUNITA
1641,PRIMERA,2020-10-08,AMAGGI,FUENTES,PRADO,BIEL,MUNITA
1658,PRIMERA,2020-10-07,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1676,PRIMERA,2020-10-06,AMAGGI,AEGNEM,FUENTES,BIEL,GOMEZ
1696,PRIMERA,2020-10-05,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1715,PRIMERA,2020-10-02,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1736,PRIMERA,2020-10-01,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1739,PRIMERA,2020-11-10,AMAGGI,PRADO,MU,SHERTZER,GOMEZ
1741,PRIMERA,2020-11-11,AMAGGI,PRADO,BIEL,MU,SHERTZER
1745,PRIMERA,2020-11-12,PRADO,BIEL,MU,SHERTZER,MUNITA
1749,PRIMERA,2020-11-13,PRADO,BIEL,MU,SHERTZER,ABUAUAD
1755,PRIMERA,2020-11-16,AMAGGI,PRADO,BIEL,MU,SHERTZER
1760,PRIMERA,2020-11-17,PRADO,MU,SHERTZER,LAGOS,AETCHEBERRY
1768,PRIMERA,2020-11-18,AMAGGI,PRADO,BIEL,MU,SHERTZER
1777,PRIMERA,2020-11-19,AMAGGI,PRADO,BIEL,MU,SHERTZER
1786,PRIMERA,2020-11-20,AMAGGI,PRADO,BIEL,MU,SHERTZER
1797,PRIMERA,2020-11-23,AMAGGI,MU,SHERTZER,LAGOS,MUNITA
1809,PRIMERA,2020-11-24,AMAGGI,AEGNEM,FUENTES,LAGOS,MUNITA
1834,PRIMERA,2020-11-25,AMAGGI,FUENTES,BIEL,MUNITA,GOMEZ
1835,PRIMERA,2020-11-26,AREPETTO,LLANOS,BIEL,MUNITA,GOMEZ
1848,PRIMERA,2020-11-27,AEGNEM,LLANOS,ARAVANALES,MUNITA,GOMEZ
1863,PRIMERA,2020-11-30,AEGNEM,FUENTES,APRADO,LAGOS,ABUAUAD
1880,PRIMERA,2020-11-09,AMAGGI,PRADO,MU,SHERTZER,MUNITA
1896,PRIMERA,2020-11-25,AMAGGI,AMU,PRADO,AREPETTO,BIEL
1912,PRIMERA,2020-11-09,AMAGGI,AMU,PRADO,AREPETTO,BIEL
1913,PRIMERA,2020-11-05,AMAGGI,BIEL,MU,SHERTZER,GOMEZ
1930,PRIMERA,2020-11-04,AMAGGI,PRADO,BIEL,MU,SHERTZER
1945,PRIMERA,2020-11-30,AMAGGI,AMU,PRADO,AREPETTO,BIEL
1948,PRIMERA,2020-11-03,AMAGGI,PRADO,BIEL,MU,SHERTZER
1968,PRIMERA,2020-11-02,AMAGGI,PRADO,BIEL,MU,SHERTZER
1971,PRIMERA,2020-12-10,AMAGGI,PRADO,BIEL,AETCHEBERRY,BARRA
1974,PRIMERA,2020-12-11,AMAGGI,PRADO,AREPETTO,BIEL,MUNITA
1980,PRIMERA,2020-12-14,AMAGGI,PRADO,BIEL,AETCHEBERRY,ABUAUAD
1985,PRIMERA,2020-12-15,AMAGGI,AEGNEM,FUENTES,PRADO,AETCHEBERRY
1991,PRIMERA,2020-12-16,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1998,PRIMERA,2020-12-17,AEGNEM,FUENTES,PRADO,BIEL,MU
2005,PRIMERA,2020-12-21,BRITO,AEGNEM,FUENTES,PRADO,BIEL
2014,PRIMERA,2020-12-22,AEGNEM,FUENTES,PRADO,MU,PALLAVICINI
2023,PRIMERA,2020-12-23,AEGNEM,FUENTES,PRADO,BIEL,MU
2035,PRIMERA,2020-12-24,AEGNEM,FUENTES,PRADO,BIEL,MU
2047,PRIMERA,2020-12-28,AEGNEM,FUENTES,PRADO,MU,GOMEZ
2057,PRIMERA,2020-12-29,AEGNEM,PRADO,MU,MUNITA,GOMEZ
2071,PRIMERA,2020-12-30,AEGNEM,PRADO,BIEL,MUNITA,BARRA
2089,PRIMERA,2020-12-31,AEGNEM,PRADO,BIEL,MU,GOMEZ
2101,PRIMERA,2020-12-09,AMAGGI,PRADO,ARAVANALES,MUNITA,GOMEZ
2116,PRIMERA,2020-12-07,AMU,PRADO,AREPETTO,BIEL,BARRA
2133,PRIMERA,2020-12-04,AMAGGI,FUENTES,PRADO,AREPETTO,GOMEZ
2151,PRIMERA,2020-12-03,AMAGGI,AEGNEM,FUENTES,PRADO,ARAVANALES
2170,PRIMERA,2020-12-02,AMAGGI,PRADO,BIEL,LAGOS,GOMEZ
2188,PRIMERA,2020-12-01,FUENTES,ARAVANALES,BIEL,LAGOS,BARRA
2191,PRIMERA,2021-01-11,FUENTES,PRADO,BIEL,MUNITA,DE
2194,PRIMERA,2021-01-12,FUENTES,PRADO,BIEL,MUNITA,ABUAUAD
2197,PRIMERA,2021-01-13,FUENTES,PRADO,BIEL,AETCHEBERRY,GOMEZ
2202,PRIMERA,2021-01-14,FUENTES,PRADO,BIEL,BARRA,AGAJARDO
2208,PRIMERA,2021-01-15,FUENTES,PRADO,BIEL,MUNITA,ABUAUAD
2214,PRIMERA,2021-01-18,FUENTES,PRADO,BIEL,MUNITA,DE
2222,PRIMERA,2021-01-19,FUENTES,PRADO,SHERTZER,ABUAUAD,PALLAVICINI
2230,PRIMERA,2021-01-20,FUENTES,PRADO,BIEL,MUNITA,GOMEZ
2239,PRIMERA,2021-01-21,AEGNEM,FUENTES,PRADO,BIEL,MUNITA
2249,PRIMERA,2021-01-22,AEGNEM,FUENTES,PRADO,LAGOS,MUNITA
2260,PRIMERA,2021-01-25,AEGNEM,FUENTES,PRADO,BIEL,MUNITA
2275,PRIMERA,2021-01-26,AEGNEM,FUENTES,PRADO,BIEL,AETCHEBERRY
2285,PRIMERA,2021-01-27,AEGNEM,CARROZA,BIEL,LAGOS,GOMEZ
2299,PRIMERA,2021-01-28,AEGNEM,BIEL,SHERTZER,LAGOS,GOMEZ
2315,PRIMERA,2021-01-29,AEGNEM,CARROZA,BIEL,LAGOS,GOMEZ
2332,PRIMERA,2021-01-08,FUENTES,PRADO,BIEL,LAGOS,AETCHEBERRY
2348,PRIMERA,2021-01-07,FUENTES,PRADO,BIEL,LAGOS,MUNITA
2376,PRIMERA,2021-01-06,FUENTES,PRADO,BIEL,LAGOS,MUNITA
2378,PRIMERA,2021-02-10,PRADO,SILVA,BIEL,MU,SHERTZER
2384,PRIMERA,2021-02-11,PRADO,SILVA,BIEL,MU,SHERTZER
2389,PRIMERA,2021-02-16,PRADO,SILVA,BIEL,MU,MUNITA
2394,PRIMERA,2021-02-17,PRADO,BIEL,MU,VAZQUEZ,LAGOS
2401,PRIMERA,2021-02-15,PRADO,BIEL,MU,MUNITA,GOMEZ
2404,PRIMERA,2021-02-18,PRADO,BIEL,MU,SHERTZER,MUNITA
2409,PRIMERA,2021-02-19,PRADO,BIEL,MU,MERA,LAGOS
2417,PRIMERA,2021-02-22,PRADO,SILVA,MU,LAGOS,PALLAVICINI
2436,PRIMERA,2021-02-23,PRADO,SILVA,MU,CONTRERAS,ALUSIC
2437,PRIMERA,2021-02-24,PRADO,SILVA,MU,CONTRERAS,MUNITA
2447,PRIMERA,2021-02-25,PRADO,SILVA,MU,CONTRERAS,LUSIC
2462,PRIMERA,2021-02-26,PRADO,SILVA,MU,VAZQUEZ,CONTRERAS
2486,PRIMERA,2021-02-08,PRADO,SILVA,BIEL,MU,SHERTZER
2512,PRIMERA,2021-02-09,PRADO,SILVA,BIEL,MU,SHERTZER
2514,PRIMERA,2021-02-04,PRADO,SILVA,BIEL,SHERTZER,MUNITA
2530,PRIMERA,2021-02-03,PRADO,SILVA,BIEL,MU,SHERTZER
2547,PRIMERA,2021-02-02,PRADO,SILVA,BIEL,MU,SHERTZER
2563,PRIMERA,2021-02-01,PRADO,BIEL,MU,SHERTZER,MUNITA
2566,PRIMERA,2021-03-10,PRADO,SILVA,MU,CONTRERAS,ALUSIC
2570,PRIMERA,2021-03-11,PRADO,SILVA,MU,CONTRERAS,FUENTES
2571,PRIMERA,2021-03-12,PRADO,SILVA,MU,CONTRERAS,ALUSIC
2576,PRIMERA,2021-03-15,BRITO,PRADO,SILVA,CONTRERAS,ALUSIC
2584,PRIMERA,2021-03-16,PRADO,SILVA,CONTRERAS,ALUSIC,MUNITA
2586,PRIMERA,2021-03-17,AEGNEM,PRADO,SILVA,ALUSIC,FUENTES
2593,PRIMERA,2021-03-18,AEGNEM,SILVA,CONTRERAS,ALUSIC,MUNITA
2602,PRIMERA,2021-03-19,AEGNEM,SILVA,CONTRERAS,MUNITA,HUMERES
2625,PRIMERA,2021-03-22,FUENTES,PRADO,SILVA,ALUSIC,MUNITA
2633,PRIMERA,2021-03-23,FUENTES,SILVA,ALUSIC,MUNITA,FUENTES
2634,PRIMERA,2021-03-24,AEGNEM,FUENTES,PRADO,SILVA,ALUSIC
2645,PRIMERA,2021-03-25,AEGNEM,FUENTES,PRADO,FUENTES,ABENAVIDES
2659,PRIMERA,2021-03-26,AEGNEM,FUENTES,PRADO,MUNITA,FUENTES
