,Sala,Presidente,Ministros,Integrantes,Fecha2,Ministros2,Abogados,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
3843,PRIMERA,  CARREÑO,  SILVA SEEÑORA MAGGI   ,SILVA SEEÑORA MAGGI  PAÑAILILLO FIGUEROA ,2017-12-19 00:00:00,,  PAÑAILILLO  FIGUEROA ,SILVA,SEEÑORA,MAGGI,,comisión,,,
3849,PRIMERA,  CARREÑO,  SILVA  MAGGI   ,SILVA MAGGI  PAÑAILILLO CORREA ,2017-12-20 00:00:00,,  PAÑAILILLO  CORREA ,SILVA,MAGGI,,PAÑAILILLO,comisión,,,
3855,PRIMERA,  CARREÑO,  SILVA  MAGGI   ,SILVA MAGGI TCHEBERR FIGUEROA ,2017-12-21 00:00:00,,   TCHEBERR    FIGUEROA ,SILVA,MAGGI,TCHEBERR,FIGUEROA,comisión,,,
3865,PRIMERA,  SILVA,  CHEVESICH  CERDA  LOS ,CHEVESICH CERDA LOS GOMEZ FIGUEROA ,2017-12-26 00:00:00,,  GOMEZ  FIGUEROA ,CHEVESICH,CERDA,LOS,GOMEZ,comisión,permiso,feriado,
3873,PRIMERA,  SILVA,  FUENTES ARANGUIZ   ,FUENTES ARANGUIZ  GOMEZ FIGUEROA ,2017-12-27 00:00:00,,  GOMEZ  FIGUEROA ,FUENTES,ARANGUIZ,,GOMEZ,comisión,permiso,feriado,
3884,PRIMERA,  SILVA,  FUENTES PRADO   ,FUENTES PRADO  QUINTANILLA GOMEZ ,2017-12-28 00:00:00,,  QUINTANILLA  GOMEZ ,FUENTES,PRADO,,QUINTANILLA,comisión,permiso,feriado,
3909,PRIMERA,  CARREÑO,  SILVA SEEÑORA MAGGI   ,SILVA SEEÑORA MAGGI  LAGOS FIGUEROA ,2017-12-06 00:00:00,,  LAGOS  FIGUEROA ,SILVA,SEEÑORA,MAGGI,,comisión,,,
3918,PRIMERA,  CARREÑO,  SILVA  MAGGI   ,SILVA MAGGI  GOMEZ FIGUEROA ,2017-12-05 00:00:00,,  GOMEZ  FIGUEROA ,SILVA,MAGGI,,GOMEZ,comisión,,,
3934,PRIMERA,  CARREÑO,  SILVA  MAGGI  LOOS ABOGADOS ,SILVA MAGGI LOOS ABOGADOS QUINTANILLA LAGOS ,2017-12-04 00:00:00,,  QUINTANILLA  LAGOS ,SILVA,MAGGI,LOOS,ABOGADOS,comisión,,,
3935,PRIMERA,  JUICA,  CARREÑO SILVA  MAGGI ,CARREÑO SILVA MAGGI ,2017-12-01 00:00:00,, ,CARREÑO,SILVA,MAGGI,,licencia,comisión,permiso,feriado
3937,SEGUNDA,  DOLMESTCH,  KUNSEMULLER CISTERNAS  LOS ,KUNSEMULLER CISTERNAS LOS LAGOS PERALTA ,2015-01-12 00:00:00,,  LAGOS  PERALTA ,KUNSEMULLER,CISTERNAS,LOS,LAGOS,feriado,subroga,,
3938,SEGUNDA,"  JUICA,",  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-01-13 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,feriado,,,
3940,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER LAGOS,2015-01-14 00:00:00,,   LAGOS,DOLMESTCH,KUNSEMULLER,LAGOS,,feriado,,,
3941,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-01-15 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
3952,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-01-19 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
3959,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-01-20 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
3967,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-01-21 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
3977,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-01-22 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
3997,SEGUNDA,  JUICA |,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-01-26 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
4008,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-01-27 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
4021,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-01-28 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
4034,SEGUNDA,"  JUICA,",  DOLMESTCH KUNSEMULLER BRITO,DOLMESTCH KUNSEMULLER BRITO PRADO,2015-01-29 00:00:00,BRITO,   PRADO,DOLMESTCH,KUNSEMULLER,BRITO,PRADO,permiso,,,
4069,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-01-08 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,feriado,,,
4083,' SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-01-07 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,feriado,,,
4099,SEGUNDA,  DOLMESTCH,  KUNSEMULLER CISTERNAS  MUNOZ,KUNSEMULLER CISTERNAS MUNOZ LAGOS,2015-01-06 00:00:00,SEÑORA MUNOZ,   LAGOS,KUNSEMULLER,CISTERNAS,MUNOZ,LAGOS,comisión,feriado,,
4115,SEGUNDA,  JUICA,  KUNSEMULLER CISTERNAS  LOS ,KUNSEMULLER CISTERNAS LOS BATES PFEFFER ,2015-01-05 00:00:00,,  BATES  PFEFFER ,KUNSEMULLER,CISTERNAS,LOS,BATES,feriado,,,
4133,SEGUNDA,  DOLMESTCH,  KUNSEMULLER BRITO BLANCO ,KUNSEMULLER BRITO BLANCO ,2015-02-10 00:00:00,, ,KUNSEMULLER,BRITO,BLANCO,,feriado,,,
4137,SEGUNDA,  DOLMESTCH,  KUNSEMULLER BRITO BLANCO ,KUNSEMULLER BRITO BLANCO ,2015-02-11 00:00:00,, ,KUNSEMULLER,BRITO,BLANCO,,feriado,,,
4141,SEGUNDA,  DOLMESTCH,  KUNSEMULLER. BRITO BLANCO ,KUNSEMULLER. BRITO BLANCO ,2015-02-12 00:00:00,, ,KUNSEMULLER.,BRITO,BLANCO,,permiso,feriado,,
4150,SEGUNDA, sEÑOR MUÑOZ,  BRITO BLANCO CERDA   ,BRITO BLANCO CERDA LAGOS,2015-02-16 00:00:00,,   LAGOS,BRITO,BLANCO,CERDA,LAGOS,permiso,feriado,,
4158,SEGUNDA,  KUNSEMULLER,  BRITO BLANCO CERDA   ,BRITO BLANCO CERDA BARAONA,2015-02-17 00:00:00,,   BARAONA,BRITO,BLANCO,CERDA,BARAONA,permiso,feriado,,
4166,SEGUNDA,  KUNSEMULLER,  BRITO BLANCO CERDA  £ ,BRITO BLANCO CERDA £ BARAONA,2015-02-18 00:00:00,,   BARAONA,BRITO,BLANCO,CERDA,£,permiso,feriado,,
4175,SEGUNDA,  KU NSEMULLER,  BRITO FUENTES BLANCO  ,BRITO FUENTES BLANCO ,2015-02-19 00:00:00,, ,BRITO,FUENTES,BLANCO,,licencia,feriado,,
4194,SEGUNDA,  JUICA,  KUNSEMULLER BRITO CERDA  ,KUNSEMULLER BRITO CERDA  LAGOS,2015-02-23 00:00:00,,   LAGOS,KUNSEMULLER,BRITO,CERDA,,comisión,permiso,feriado,
4207,SEGUNDA,  JUICA,  KUNSEMULLER BRITO CERDA  ,KUNSEMULLER BRITO CERDA  BATES,2015-02-25 00:00:00,,   BATES,KUNSEMULLER,BRITO,CERDA,,comisión,feriado,,
4220,SEGUNDA,  JUICA,  KUNSEMULLER BRITO FUENTES ,KUNSEMULLER BRITO FUENTES ,2015-02-26 00:00:00,, ,KUNSEMULLER,BRITO,FUENTES,,comisión,feriado,,
4247,SEGUNDA,"  DOLMESTCH,",  KUNSEMULLER BRITO BLAN CO ,KUNSEMULLER BRITO BLAN CO ,2015-02-09 00:00:00,, ,KUNSEMULLER,BRITO,BLAN,CO,feriado,,,
4279,SEGUNDA,  DOLMESTCH,  KUNSEMULLER BRITO BLANCO ,KUNSEMULLER BRITO BLANCO ,2015-02-05 00:00:00,, ,KUNSEMULLER,BRITO,BLANCO,,feriado,,,
4314,SEGUNDA,  DOLMESTCH,  KUNSEMULLER BRITO BLANCO ,KUNSEMULLER BRITO BLANCO ,2015-02-03 00:00:00,, ,KUNSEMULLER,BRITO,BLANCO,,feriado,,,
4333,SEGUNDA,  DÓLMESTCH, SENORES KUNSEMULLER BRITO BLANCO ,SENORES KUNSEMULLER BRITO BLANCO ,2015-02-02 00:00:00,, ,SENORES,KUNSEMULLER,BRITO,BLANCO,,,,
4336,SEGUNDA,  DOLMESTCH,  KUNSEMULLER BRITO ,KUNSEMULLER BRITO ,2015-03-10 00:00:00,, ,KUNSEMULLER,BRITO,,,permiso,,,
4338,SEGUNDA,  JUICA,  KUNSEMULLER BRITO BLANCO ,KUNSEMULLER BRITO BLANCO ,2015-03-11 00:00:00,, ,KUNSEMULLER,BRITO,BLANCO,,,,,
4339,SEGUNDA,  DOLMESTCH,  KUNSEMULLER BRITO ,KUNSEMULLER BRITO ,2015-03-11 00:00:00,, ,KUNSEMULLER,BRITO,,,,,,
4345,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-03-12 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
4355,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-03-16 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
4361,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-03-17 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
4369,SEGUNDA,  JUICA,  DOLMESTCH CISTERNAS CERDA ,DOLMESTCH CISTERNAS CERDA MA TUS,2015-03-18 00:00:00,,   MA TUS,DOLMESTCH,CISTERNAS,CERDA,MA,permiso,,,
4378,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ETCHEBERRY,2015-03-19 00:00:00,,   ETCHEBERRY,DOLMESTCH,KUNSEMULLER,ETCHEBERRY,,permiso,,,
4395,SEGUNDA,  JUICA |,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER LAGOS,2015-03-23 00:00:00,,   LAGOS,DOLMESTCH,KUNSEMULLER,LAGOS,,licencia,,,
4406,SEGUNDA,  JUICA,  KUNSEMULLER BRITO  LOS ,KUNSEMULLER BRITO LOS PIZARRO LAGOS ,2015-03-24 00:00:00,,  PIZARRO  LAGOS ,KUNSEMULLER,BRITO,LOS,PIZARRO,licencia,permiso,,
4417,SEGUNDA,  DOLMESTCH,  KKUNSEMULLER BRITO  LOS ,KKUNSEMULLER BRITO LOS LAGOS PRADO ,2015-03-25 00:00:00,,  LAGOS  PRADO ,KKUNSEMULLER,BRITO,LOS,LAGOS,licencia,comisión,,
4429,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-03-26 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,comisión,,,
4455,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-03-30 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
4470,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-04-30 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
4485,SEGUNDA,  DOLMESTCH,  KUNSEMULLER BRITO CISTERNAS,KUNSEMULLER BRITO CISTERNAS MATUS,2015-03-09 00:00:00,CISTERNAS,   MATUS,KUNSEMULLER,BRITO,CISTERNAS,MATUS,permiso,,,
4517,SEGUNDA,  KUNSEMULLER,  ARANGUIZ  CERDA  LOS ABOCADOS ,ARANGUIZ CERDA LOS ABOCADOS MA TUS LAGOS ,2015-03-05 00:00:00,,  MA TUS  LAGOS ,ARANGUIZ,CERDA,LOS,ABOCADOS,,,,
4534,SEGUNDA,"  JUICA,",  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-03-04 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
4552,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-03-03 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,,,,
4572,SEGUNDA,  JUICA,  KUNSEMULLER BRITO BLANCO ,KUNSEMULLER BRITO BLANCO ,2015-03-02 00:00:00,, ,KUNSEMULLER,BRITO,BLANCO,,feriado,,,
4576,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,2015-04-13 00:00:00,, ,DOLMESTCH,KUNSEMULLER,,,subroga,,,
4579,SEGUNDA,  JUICA,  DOLMESTCH KUNSEMULLER ,DOLMESTCH KUNSEMULLER ,,, ,DOLMESTCH,KUNSEMULLER,,,,,,
