index,Posesión de balón_local_final,Remates_local_final,Remates a puerta_local_final,Remates fuera_local_final,Remates rechazados_local_final,Córneres_local_final,Fueras de juego_local_final,Paradas_local_final,Faltas_local_final,Tarjetas rojas_local_final,Tarjetas amarillas_local_final,Pases totales_local_final,Tackles_local_final,Ataques_local_final,Ataques peligrosos_local_final,Posesión de balón_visita_final,Remates_visita_final,Remates a puerta_visita_final,Remates fuera_visita_final,Remates rechazados_visita_final,Córneres_visita_final,Fueras de juego_visita_final,Paradas_visita_final,Faltas_visita_final,Tarjetas rojas_visita_final,Tarjetas amarillas_visita_final,Pases totales_visita_final,Tackles_visita_final,Ataques_visita_final,Ataques peligrosos_visita_final,Posesión de balón_local_1T,Remates_local_1T,Remates a puerta_local_1T,Remates fuera_local_1T,Remates rechazados_local_1T,Córneres_local_1T,Fueras de juego_local_1T,Paradas_local_1T,Faltas_local_1T,Tarjetas amarillas_local_1T,Pases totales_local_1T,Tackles_local_1T,Ataques_local_1T,Ataques peligrosos_local_1T,Posesión de balón_visita_1T,Remates_visita_1T,Remates a puerta_visita_1T,Remates fuera_visita_1T,Remates rechazados_visita_1T,Córneres_visita_1T,Fueras de juego_visita_1T,Paradas_visita_1T,Faltas_visita_1T,Tarjetas amarillas_visita_1T,Pases totales_visita_1T,Tackles_visita_1T,Ataques_visita_1T,Ataques peligrosos_visita_1T,Posesión de balón_local_2T,Remates_local_2T,Remates a puerta_local_2T,Remates fuera_local_2T,Remates rechazados_local_2T,Córneres_local_2T,Fueras de juego_local_2T,Paradas_local_2T,Faltas_local_2T,Tarjetas rojas_local_2T,Tarjetas amarillas_local_2T,Pases totales_local_2T,Tackles_local_2T,Ataques_local_2T,Ataques peligrosos_local_2T,Posesión de balón_visita_2T,Remates_visita_2T,Remates a puerta_visita_2T,Remates fuera_visita_2T,Remates rechazados_visita_2T,Córneres_visita_2T,Fueras de juego_visita_2T,Paradas_visita_2T,Faltas_visita_2T,Tarjetas rojas_visita_2T,Tarjetas amarillas_visita_2T,Pases totales_visita_2T,Tackles_visita_2T,Ataques_visita_2T,Ataques peligrosos_visita_2T,año,Tarjetas rojas_local_1T,Tarjetas rojas_visita_1T,Pases completados_local_final,Pases completados_visita_final,Pases completados_local_1T,Pases completados_visita_1T,Pases completados_local_2T,Pases completados_visita_2T,Tiros libres_local_final,Tiros libres_visita_final,Tiros libres_local_1T,Tiros libres_visita_1T,Tiros libres_local_2T,Tiros libres_visita_2T,Saques de banda_local_final,Saques de banda_visita_final,Saques de banda_local_2T,Saques de banda_visita_2T,Saques de banda_local_1T,Saques de banda_visita_1T
0,42%,11,4,7,0,4,3,2,18,,2,287,20,127,68,58%,10,3,4,3,5,1,2,21,,0,409,19,131,59,44%,7,1,6,0,2,0,1,8,1,171,11,74,44,56%,5,2,2,1,1,0,1,11,0,230,10,60,23,40%,4,3,1,0,2,3,1,10,,1,116,9,53,24,60%,5,1,2,2,4,1,1,10,,0,179,9,71,36,2021,,,,,,,,,,,,,,,,,,,,
0,49%,13,7,6,0,6,3,3,11,,2,452,15,115,66,51%,8,3,2,3,4,2,5,6,,0,475,15,122,84,55%,9,4,5,0,4,0,2,5,1,269,4,64,45,45%,5,2,2,1,2,1,3,1,0,227,10,51,28,43%,4,3,1,0,2,3,1,6,,1,183,11,51,21,57%,3,1,0,2,2,1,2,5,,0,248,5,71,56,2021,,,,,,,,,,,,,,,,,,,,
0,39%,9,2,5,2,2,2,3,15,,4,277,8,108,52,61%,14,4,7,3,6,1,2,17,,3,429,12,123,72,40%,3,2,0,1,1,0,2,7,,145,4,50,24,60%,7,2,4,1,5,0,2,8,,205,8,62,38,38%,6,0,5,1,1,2,1,8,,4,132,4,58,28,62%,7,2,3,2,1,1,0,9,,3,224,4,61,34,2021,,,,,,,,,,,,,,,,,,,,
0,58%,15,5,5,5,8,2,5,9,0,2,483,16,124,94,42%,15,7,7,1,8,3,4,6,1,0,339,32,113,83,58%,5,1,3,1,4,0,3,5,1,256,4,65,40,42%,8,3,4,1,3,2,0,2,0,179,18,53,37,58%,10,4,2,4,4,2,2,4,,1,227,12,59,54,42%,7,4,3,0,5,1,4,4,,0,160,14,60,46,2021,0,1,,,,,,,,,,,,,,,,,,
0,75%,18,3,11,4,5,0,1,8,,1,577,8,140,109,25%,6,2,3,1,0,0,3,15,,1,188,17,110,45,71%,7,1,3,3,2,0,1,4,0,264,5,51,30,29%,5,2,2,1,0,0,1,6,1,105,9,62,28,79%,11,2,8,1,3,0,0,4,,1,313,3,89,79,21%,1,0,1,0,0,0,2,9,,0,83,8,48,17,2021,,,,,,,,,,,,,,,,,,,,
0,66%,20,4,11,5,7,1,2,16,1,3,470,16,142,122,34%,8,5,2,1,2,2,2,21,1,5,244,18,79,41,65%,7,3,2,2,2,1,1,10,1,264,13,72,47,35%,3,2,1,0,1,2,2,11,2,143,12,44,24,67%,13,1,9,3,5,0,1,6,1,2,206,3,70,75,33%,5,3,1,1,1,0,0,10,1,3,101,6,35,17,2021,,,,,,,,,,,,,,,,,,,,
0,51%,14,8,6,0,4,2,4,9,,6,345,10,124,75,49%,14,6,4,4,7,1,6,12,,3,321,9,109,69,42%,5,3,2,0,2,1,4,5,1,158,3,60,40,58%,10,4,2,4,5,0,2,3,0,210,3,64,41,60%,9,5,4,0,2,1,0,4,,5,187,7,64,35,40%,4,2,2,0,2,1,4,9,,3,111,6,45,28,2021,,,,,,,,,,,,,,,,,,,,
0,59%,7,3,3,1,3,6,0,12,,2,486,15,110,61,41%,2,0,2,0,2,0,1,15,,3,322,15,95,68,62%,2,1,0,1,2,4,0,4,0,292,7,65,32,38%,1,0,1,0,2,0,1,11,1,179,5,43,37,56%,5,2,3,0,1,2,0,8,,2,194,8,45,29,44%,1,0,1,0,0,0,0,4,,2,143,10,52,31,2021,,,,,,,,,,,,,,,,,,,,
0,53%,13,5,5,3,4,0,5,11,,2,523,21,127,76,47%,10,6,3,1,5,0,4,9,,2,460,17,129,70,51%,4,3,1,0,1,0,1,2,,284,9,67,35,49%,3,1,1,1,3,0,2,2,,258,10,63,40,55%,9,2,4,3,3,0,4,9,,2,239,12,60,41,45%,7,5,2,0,2,0,2,7,,2,202,7,66,30,2021,,,,,,,,,,,,,,,,,,,,
0,45%,12,5,6,1,7,0,2,12,,4,276,17,116,89,55%,7,3,3,1,1,2,3,13,,4,352,16,110,58,47%,4,2,2,0,4,0,1,2,1,138,5,53,42,53%,4,2,2,0,1,0,1,7,2,161,7,53,26,43%,8,3,4,1,3,0,1,10,,3,138,12,63,47,57%,3,1,1,1,0,2,2,6,,2,191,9,57,32,2021,,,,,,,,,,,,,,,,,,,,
0,45%,8,1,5,2,3,1,3,16,,2,358,16,118,66,55%,11,3,7,1,6,3,1,16,,3,432,15,132,87,44%,2,1,1,0,2,1,1,7,0,170,8,64,33,56%,6,1,4,1,3,2,1,7,1,218,4,70,39,46%,6,0,4,2,1,0,2,9,,2,188,8,54,33,54%,5,2,3,0,3,1,0,9,,2,214,11,62,48,2021,,,,,,,,,,,,,,,,,,,,
0,64%,10,4,4,2,3,3,6,13,,3,385,15,87,67,36%,14,6,4,4,3,0,4,12,,2,385,18,100,79,46%,1,0,1,0,1,1,3,7,2,173,12,36,31,54%,9,3,4,2,2,0,0,3,0,204,10,53,35,82%,9,4,3,2,2,2,3,6,,1,212,3,51,36,18%,5,3,0,2,1,0,4,9,,2,181,8,47,44,2021,,,,,,,,,,,,,,,,,,,,
