,Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4
1446,PRIMERA,2020-09-30,AMAGGI,AEGNEM,PRADO,LAGOS,MUNITA
1457,PRIMERA,2020-09-09,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,AETCHEBERRY
1469,PRIMERA,2020-09-08,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,GOMEZ
1482,PRIMERA,2020-09-07,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1497,PRIMERA,2020-09-04,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1513,PRIMERA,2020-09-03,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1526,PRIMERA,2020-09-02,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1543,PRIMERA,2020-09-01,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,GOMEZ
1545,PRIMERA,2020-10-13,AEGNEM,FUENTES,PRADO,BIEL,MUNITA
1547,PRIMERA,2020-10-14,AMAGGI,AEGNEM,VALDERRAMA,PRADO,BIEL
1549,PRIMERA,2020-10-15,AMAGGI,AEGNEM,FUENTES,VALDERRAMA,BIEL
1552,PRIMERA,2020-10-16,AEGNEM,FUENTES,BIEL,LAGOS,GOMEZ
1558,PRIMERA,2020-10-19,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1564,PRIMERA,2020-10-21,AMAGGI,AEGNEM,FUENTES,PRADO,GOMEZ
1570,PRIMERA,2020-10-22,AMAGGI,PRADO,BIEL,MUNITA,GOMEZ
1582,PRIMERA,2020-10-23,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1584,PRIMERA,2020-10-27,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1601,PRIMERA,2020-10-20,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1607,PRIMERA,2020-10-28,AMAGGI,PRADO,LLANOS,MUNITA,GOMEZ
1618,PRIMERA,2020-10-29,AMAGGI,AEGNEM,PRADO,AREPETTO,LAGOS
1625,PRIMERA,2020-10-30,AMAGGI,AEGNEM,FUENTES,APRADO,GOMEZ
1635,PRIMERA,2020-10-09,AMAGGI,FUENTES,PRADO,BIEL,MUNITA
1648,PRIMERA,2020-10-08,AMAGGI,FUENTES,PRADO,BIEL,MUNITA
1659,PRIMERA,2020-10-07,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1671,PRIMERA,2020-10-06,AMAGGI,AEGNEM,FUENTES,BIEL,GOMEZ
1683,PRIMERA,2020-10-05,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1697,PRIMERA,2020-10-02,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1714,PRIMERA,2020-10-01,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1716,PRIMERA,2020-11-10,AMAGGI,PRADO,MU,SHERTZER,GOMEZ
1718,PRIMERA,2020-11-11,AMAGGI,PRADO,BIEL,MU,SHERTZER
1720,PRIMERA,2020-11-12,PRADO,BIEL,MU,SHERTZER,MUNITA
1726,PRIMERA,2020-11-13,PRADO,BIEL,MU,SHERTZER,ABUAUAD
1730,PRIMERA,2020-11-16,AMAGGI,PRADO,BIEL,MU,SHERTZER
1735,PRIMERA,2020-11-17,PRADO,MU,SHERTZER,LAGOS,AETCHEBERRY
1741,PRIMERA,2020-11-18,AMAGGI,PRADO,BIEL,MU,SHERTZER
1748,PRIMERA,2020-11-19,AMAGGI,PRADO,BIEL,MU,SHERTZER
1754,PRIMERA,2020-11-20,AMAGGI,PRADO,BIEL,MU,SHERTZER
1762,PRIMERA,2020-11-23,AMAGGI,MU,SHERTZER,LAGOS,MUNITA
1770,PRIMERA,2020-11-24,AMAGGI,AEGNEM,FUENTES,LAGOS,MUNITA
1780,PRIMERA,2020-11-25,AMAGGI,FUENTES,BIEL,MUNITA,GOMEZ
1792,PRIMERA,2020-11-26,AREPETTO,LLANOS,BIEL,MUNITA,GOMEZ
1801,PRIMERA,2020-11-27,AEGNEM,LLANOS,ARAVANALES,MUNITA,GOMEZ
1809,PRIMERA,2020-11-30,AEGNEM,FUENTES,APRADO,LAGOS,ABUAUAD
1820,PRIMERA,2020-11-09,AMAGGI,PRADO,MU,SHERTZER,MUNITA
1831,PRIMERA,2020-11-09,AMAGGI,AMU,PRADO,AREPETTO,BIEL
1835,PRIMERA,2020-11-13,AMAGGI,AMU,PRADO,AREPETTO,BIEL
1844,PRIMERA,2020-11-05,AMAGGI,BIEL,MU,SHERTZER,GOMEZ
1858,PRIMERA,2020-11-04,AMAGGI,PRADO,BIEL,MU,SHERTZER
1870,PRIMERA,2020-11-03,AMAGGI,PRADO,BIEL,MU,SHERTZER
1891,PRIMERA,2020-11-02,AMAGGI,PRADO,BIEL,MU,SHERTZER
1894,PRIMERA,2020-12-10,AMAGGI,PRADO,BIEL,AETCHEBERRY,BARRA
1897,PRIMERA,2020-12-11,AMAGGI,PRADO,AREPETTO,BIEL,MUNITA
1903,PRIMERA,2020-12-14,AMAGGI,PRADO,BIEL,AETCHEBERRY,ABUAUAD
1908,PRIMERA,2020-12-15,AMAGGI,AEGNEM,FUENTES,PRADO,AETCHEBERRY
1913,PRIMERA,2020-12-16,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1920,PRIMERA,2020-12-17,AEGNEM,FUENTES,PRADO,BIEL,MU
1928,PRIMERA,2020-12-21,BRITO,AEGNEM,FUENTES,PRADO,BIEL
1947,PRIMERA,2020-12-23,AEGNEM,FUENTES,PRADO,BIEL,MU
1958,PRIMERA,2020-12-24,AEGNEM,FUENTES,PRADO,BIEL,MU
1970,PRIMERA,2020-12-28,AEGNEM,FUENTES,PRADO,MU,GOMEZ
1983,PRIMERA,2020-12-29,AEGNEM,PRADO,MU,MUNITA,GOMEZ
1995,PRIMERA,2020-12-30,AEGNEM,PRADO,BIEL,MUNITA,BARRA
2010,PRIMERA,2020-12-31,AEGNEM,PRADO,BIEL,MU,GOMEZ
2026,PRIMERA,2020-12-09,AMAGGI,PRADO,ARAVANALES,MUNITA,GOMEZ
2043,PRIMERA,2020-12-07,AMU,PRADO,AREPETTO,BIEL,BARRA
2075,PRIMERA,2020-12-04,AMAGGI,FUENTES,PRADO,AREPETTO,GOMEZ
2076,PRIMERA,2020-12-03,AMAGGI,AEGNEM,FUENTES,PRADO,ARAVANALES
2096,PRIMERA,2020-12-02,AMAGGI,PRADO,BIEL,LAGOS,GOMEZ
2120,PRIMERA,2021-01-11,FUENTES,PRADO,BIEL,MUNITA,DE
2123,PRIMERA,2021-01-12,FUENTES,PRADO,BIEL,MUNITA,ABUAUAD
2127,PRIMERA,2021-01-13,FUENTES,PRADO,BIEL,AETCHEBERRY,GOMEZ
2132,PRIMERA,2021-01-14,FUENTES,PRADO,BIEL,BARRA,AGAJARDO
2137,PRIMERA,2021-01-15,FUENTES,PRADO,BIEL,MUNITA,ABUAUAD
2144,PRIMERA,2021-01-18,FUENTES,PRADO,BIEL,MUNITA,DE
2152,PRIMERA,2021-01-19,FUENTES,PRADO,SHERTZER,ABUAUAD,PALLAVICINI
2161,PRIMERA,2021-01-20,FUENTES,PRADO,BIEL,MUNITA,GOMEZ
2171,PRIMERA,2021-01-21,AEGNEM,FUENTES,PRADO,BIEL,MUNITA
2182,PRIMERA,2021-01-22,AEGNEM,FUENTES,PRADO,LAGOS,MUNITA
2193,PRIMERA,2021-01-25,AEGNEM,FUENTES,PRADO,BIEL,MUNITA
2204,PRIMERA,2021-01-26,AEGNEM,FUENTES,PRADO,BIEL,AETCHEBERRY
2218,PRIMERA,2021-01-27,AEGNEM,CARROZA,BIEL,LAGOS,GOMEZ
2231,PRIMERA,2021-01-28,AEGNEM,BIEL,SHERTZER,LAGOS,GOMEZ
2244,PRIMERA,2021-01-29,AEGNEM,CARROZA,BIEL,LAGOS,GOMEZ
2260,PRIMERA,2021-01-08,FUENTES,PRADO,BIEL,LAGOS,AETCHEBERRY
2278,PRIMERA,2021-01-07,FUENTES,PRADO,BIEL,LAGOS,MUNITA
2297,PRIMERA,2021-01-06,FUENTES,PRADO,BIEL,LAGOS,MUNITA
2314,PRIMERA,2021-01-05,PRADO,AREPETTO,MU,LAGOS,BARRA
2316,PRIMERA,2021-02-10,PRADO,SILVA,BIEL,MU,SHERTZER
2319,PRIMERA,2021-02-11,PRADO,SILVA,BIEL,MU,SHERTZER
2323,PRIMERA,2021-02-15,PRADO,BIEL,MU,MUNITA,GOMEZ
2328,PRIMERA,2021-02-16,PRADO,SILVA,BIEL,MU,MUNITA
2334,PRIMERA,2021-02-17,PRADO,BIEL,MU,VAZQUEZ,LAGOS
2338,PRIMERA,2021-02-18,PRADO,BIEL,MU,SHERTZER,MUNITA
2344,PRIMERA,2021-02-19,PRADO,BIEL,MU,MERA,LAGOS
2350,PRIMERA,2021-02-22,PRADO,SILVA,MU,LAGOS,PALLAVICINI
2357,PRIMERA,2021-02-23,PRADO,SILVA,MU,CONTRERAS,ALUSIC
2363,PRIMERA,2021-02-24,PRADO,SILVA,MU,CONTRERAS,MUNITA
2373,PRIMERA,2021-02-25,PRADO,SILVA,MU,CONTRERAS,LUSIC
2385,PRIMERA,2021-02-26,PRADO,SILVA,MU,VAZQUEZ,CONTRERAS
2397,PRIMERA,2021-02-09,PRADO,SILVA,BIEL,MU,SHERTZER
2411,PRIMERA,2021-02-08,PRADO,SILVA,BIEL,MU,SHERTZER
2425,PRIMERA,2021-02-05,PRADO,SILVA,BIEL,MU,SHERTZER
2437,PRIMERA,2021-02-04,PRADO,SILVA,BIEL,SHERTZER,MUNITA
2452,PRIMERA,2021-02-03,PRADO,SILVA,BIEL,MU,SHERTZER
2469,PRIMERA,2021-02-02,PRADO,SILVA,BIEL,MU,SHERTZER
2486,PRIMERA,2021-02-01,PRADO,BIEL,MU,SHERTZER,MUNITA
2489,PRIMERA,2021-03-10,PRADO,SILVA,MU,CONTRERAS,ALUSIC
2492,PRIMERA,2021-03-11,PRADO,SILVA,MU,CONTRERAS,FUENTES
2495,PRIMERA,2021-03-12,PRADO,SILVA,MU,CONTRERAS,ALUSIC
2498,PRIMERA,2021-03-15,BRITO,PRADO,SILVA,CONTRERAS,ALUSIC
2504,PRIMERA,2021-03-16,PRADO,SILVA,CONTRERAS,ALUSIC,MUNITA
2508,PRIMERA,2021-03-17,AEGNEM,PRADO,SILVA,ALUSIC,FUENTES
2516,PRIMERA,2021-03-18,AEGNEM,SILVA,CONTRERAS,ALUSIC,MUNITA
2523,PRIMERA,2021-03-19,AEGNEM,SILVA,CONTRERAS,MUNITA,HUMERES
2528,PRIMERA,2021-03-22,FUENTES,PRADO,SILVA,ALUSIC,MUNITA
2534,PRIMERA,2021-03-23,FUENTES,SILVA,ALUSIC,MUNITA,FUENTES
2543,PRIMERA,2021-03-24,AEGNEM,FUENTES,PRADO,SILVA,ALUSIC
2550,PRIMERA,2021-03-25,AEGNEM,FUENTES,PRADO,FUENTES,ABENAVIDES
2560,PRIMERA,2021-03-26,AEGNEM,FUENTES,PRADO,MUNITA,FUENTES
2572,PRIMERA,2021-03-29,AEGNEM,FUENTES,PRADO,SILVA,ALUSIC
2583,PRIMERA,2021-03-30,AEGNEM,FUENTES,PRADO,SILVA,ALUSIC
2597,PRIMERA,2021-03-31,AEGNEM,FUENTES,PRADO,SILVA,FUENTES
2610,PRIMERA,2021-03-09,PRADO,SILVA,MU,CONTRERAS,ALUSIC
2625,PRIMERA,2021-03-08,PRADO,SILVA,MU,CONTRERAS,ALUSIC
2641,PRIMERA,2021-03-05,PRADO,SILVA,AREPETTO,MU,CONTRERAS
2657,PRIMERA,2021-03-04,PRADO,SILVA,MU,CONTRERAS,ALUSIC
2677,PRIMERA,2021-03-03,PRADO,SILVA,MU,CONTRERAS,ALUSIC
2692,PRIMERA,2021-03-02,PRADO,SILVA,MU,CONTRERAS,ALUSIC
2709,PRIMERA,2021-03-01,PRADO,SILVA,MU,CONTRERAS,ALUSIC
2712,PRIMERA,2021-04-12,AMAGGI,AEGNEM,FUENTES,PRADO,SILVA
2713,PRIMERA,2021-04-13,AEGNEM,FUENTES,PRADO,SILVA,ACOPPO
2717,PRIMERA,2021-04-14,AMAGGI,AEGNEM,FUENTES,SILVA,MUNITA
2720,PRIMERA,2021-04-15,AMAGGI,FUENTES,PRADO,SILVA,FUENTES
2722,PRIMERA,2021-04-16,AMAGGI,AEGNEM,FUENTES,PRADO,ARAVANALES
2725,PRIMERA,2021-04-19,AEGNEM,PRADO,SILVA,AREPETTO,MUNITA
2728,PRIMERA,2021-04-20,AEGNEM,FUENTES,PRADO,SILVA,FUENTES
2739,PRIMERA,2021-04-22,AMAGGI,AEGNEM,PRADO,MUNITA,FUENTES
2747,PRIMERA,2021-04-23,AMAGGI,AEGNEM,PRADO,SILVA,ACOPPO
2755,PRIMERA,2021-04-26,AMAGGI,FUENTES,PRADO,SILVA,HUMERES
2761,PRIMERA,2021-04-27,AEGNEM,FUENTES,AREPETTO,MUNITA,RUZ
2769,PRIMERA,2021-04-28,AMAGGI,AEGNEM,FUENTES,PRADO,HUMERES
2782,PRIMERA,2021-04-29,AMAGGI,AEGNEM,FUENTES,PRADO,SILVA
